name,address,pho,dhb,enrolled,accepting_patients,sa3_name,region,nz_dep,sa3_pop,sa3_maori_pct,sa3_pasifika_pct,nearest_ed,nearest_ed_km,nearest_afterhours,nearest_afterhours_km
"Nelson City Medical Centre","125 Collingwood Street, Nelson 7010","Nelson Bays Primary Health","Nelson Marlborough District Health Board",5200,true,"Nelson Centre","Nelson Region",6.8,5868,12.5,3.3,"Nelson Hospital Emergency Department",1.9,"Medical and Injury Centre Ltd (Nelson)",1.8
"Picton Medical Centre","114 High Street, Picton 7220","Marlborough Primary Health/Kimi Hauora Wairau","Nelson Marlborough District Health Board",5350,true,"Picton","Marlborough Region",7,4812,21.0,2.3,"Nelson Hospital Emergency Department",61.3,"Marlborough Urgent Care Centre",27.4
"Rangiora Medical - Good Street","17 Good Street, Rangiora 7400","Waitaha Primary Health","Canterbury District Health Board",7000,true,"Rangiora North East","Canterbury Region",4,4428,8.2,1.1,"Christchurch Hospital ED",25.9,"Durham Health",0.2
"Redwoodtown Medical","72 Cleghorn Street, Redwoodtown, Blenheim 7201","Marlborough Primary Health/Kimi Hauora Wairau","Nelson Marlborough District Health Board",7700,true,"Redwoodtown","Marlborough Region",6.5,5397,15.2,5.8,"Nelson Hospital Emergency Department",63,"Marlborough Urgent Care Centre",1.1
"South City Medical Centre (Invercargill)","270 Elles Road, Strathern, Invercargill 9812","Well South Primary Health Network","Southern District Health Board",2900,true,"Strathern","Southland Region",9,3912,23.5,6.4,"Southland Hospital Emergency Department",1.1,"Wellsouth Afterhours",1.8
"South Hill Family Practice","11 Arun Street, South Hill, Oamaru 9400","Well South Primary Health Network","Southern District Health Board",1800,true,"South Hill","Otago Region",7,2247,9.3,6.3,"Ōamaru Hospital Emergency Department",0.8,"Timaru After Hours Medical Services",81.6
"Saddle View Health Centre","242 Main South Road, Green Island, Dunedin 9018","Well South Primary Health Network","Southern District Health Board",4417,true,"Green Island","Otago Region",5,2376,12.6,3.8,"Dunedin Hospital Emergency Department",7.3,"Mosgiel Health Centre",6.5
"Barrington Medical Centre","16 Athelstan Street, Spreydon, Christchurch 8024","Pegasus Health","Canterbury District Health Board",12950,true,"Spreydon","Canterbury Region",6.7,9273,12.5,3.6,"Christchurch Hospital ED",2.6,"After Hours GP - Spreydon",1
"Riverton Medical Centre","104 Palmerston Street, Riverton 9822","Well South Primary Health Network","Southern District Health Board",1549,true,"Southland District South","Southland Region",6.8,8133,15.3,1.2,"Southland Hospital Emergency Department",27.9,"Wellsouth Afterhours",26.4
"Waimea Medical","57 Salisbury Road, Richmond 7020","Nelson Bays Primary Health","Nelson Marlborough District Health Board",12799,true,"Richmond Centre (Tasman District)","Tasman Region",4.3,8424,9.4,1.7,"Nelson Hospital Emergency Department",8.7,"Medical and Injury Centre Ltd (Nelson)",8.8
"Dee Street Primary Care","6A Dee Street, Timaru 7910","Waitaha Primary Health","South Canterbury District Health Board",6824,true,"Timaru Centre","Canterbury Region",8.3,2061,14.3,6.1,"Timaru Hospital - Emergency Department",1.5,"Timaru After Hours Medical Services",0.6
"Four Peak Health","16 Cox Street, Geraldine 7930","Waitaha Primary Health","South Canterbury District Health Board",3342,true,"Timaru District North","Canterbury Region",4,6189,6.6,1.3,"Timaru Hospital - Emergency Department",35.1,"Timaru After Hours Medical Services",34.3
"Blue Penguin Medical Centre","2A Preston Street, West End, Timaru 7910","Waitaha Primary Health","South Canterbury District Health Board",1700,true,"Fraser Park","Canterbury Region",6,2835,12.4,5.5,"Timaru Hospital - Emergency Department",2.7,"Timaru After Hours Medical Services",1.9
"Nelson Family Medicine","Health@132, 132 Collingwood Street, Nelson 7010","Nelson Bays Primary Health","Nelson Marlborough District Health Board",7500,true,"Nelson Centre","Nelson Region",6.8,5868,12.5,3.3,"Nelson Hospital Emergency Department",1.9,"Medical and Injury Centre Ltd (Nelson)",1.7
"Alexandra Family Medical Centre","18 Limerick Street, Alexandra 9320","Well South Primary Health Network","Southern District Health Board",1830,true,"Alexandra","Otago Region",4,5586,11.0,1.9,"Queenstown Lakes Emergency Department",57.7,"HealthCentral",0.7
